ID,AMBITO_NOMBRE,EMBALSE_NOMBRE,AGUA_TOTAL,ELECTRICO_FLAG,CODIGO,NOMBRE,EMBALSE,X,Y,DEMARC,PROVINCIA,CCAA,TIPO,INFORME
261.0,ebro,irabia,14.0,1.0,9310034,irabia,irabia,42.9849261200001,-1.15747190799993,ebro,navarra,comunidad foral de navarra,presa de fábrica de mampostería,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2746
,,,,,5410154,lebrija,lebrija,36.960900983,-6.04259056299998,guadalquivir,sevilla,andalucía,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=1795
,,,,,9310008,"ferial, el","ferial, el",42.2903109210001,-1.58668498599997,ebro,navarra,comunidad foral de navarra,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2720
,,,,,9310017,"ferial, el","ferial, el",42.286924904,-1.58597230399994,ebro,navarra,comunidad foral de navarra,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2729
437.0,segura,taibilla,10.0,0.0,7020004,taibilla,taibilla,38.192427536,-2.26193352199994,segura,albacete,castilla - la mancha,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2006
,,,,,9420004,monteagudo de las vicarias,monteagudo de las vicarias,41.380343456,-2.17816542799994,ebro,soria,castilla y león,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2761
,,,,,9420002,monteagudo de las vicarias,monteagudo de las vicarias,41.386306441,-2.18959618999997,ebro,soria,castilla y león,presa de materiales sueltos homogénea,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2759
,,,,,7300010,argos,embalse del argos,38.1723978200001,-1.73353032399996,segura,murcia,región de murcia,presa de materiales sueltos zonificada o de núcleo,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=2046
,,,,,1390012,mediajo,mediajo,43.089135608,-4.02396184799994,cantabrico occidental,cantabria,cantabria,presa de materiales sueltos de pantalla asfáltica,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=182
,,,,,15200005,urkulu,urkulu reservoir,43.0225055220001,-2.47053633499996,cantabrico oriental,gipuzkoa/guipúzcoa,país vasco,presa de materiales sueltos de pantalla de hormigón,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=3120
384.0,miño - sil,santa eulalia,10.0,1.0,1320028,santa eulalia,santa eulalia,42.3483453630001,-7.06397987999998,miño-sil,ourense,galicia,presa de fábrica de bóveda,https://sig.mapama.gob.es/webservices/clientews/snczi/default.aspx?nombre=egispe_presa&claves=id_infraestructura&valores=113
